Time; Input; Output
42,78; -0,4; -17,014933
42,84; -0,4; -16,934903
42,9; -0,4; -16,817489
42,96; -0,4; -16,722408
43,02; -0,4; -16,613313
43,08; -0,4; -16,513026
43,14; -0,4; -16,365114
43,2; -0,4; -16,231962
43,26; -0,4; -16,095701
43,32; -0,4; -15,965079
43,38; -0,4; -15,834219
43,44; -0,4; -15,680098
43,5; -0,4; -15,523957
43,56; -0,4; -15,376259
43,62; -0,4; -15,208072
43,68; -0,4; -15,022487
43,74; -0,4; -14,882162
43,8; -0,4; -14,704177
43,86; -0,4; -14,52387
43,92; -0,4; -14,35869
43,98; -0,4; -14,18487
44,04; -0,4; -14,006949
44,1; -0,4; -13,827226
44,16; -0,4; -13,653741
44,22; -0,4; -13,461502
44,28; -0,4; -13,293028
44,34; -0,4; -13,096963
44,4; -0,4; -12,914876
44,46; -0,4; -12,740588
44,52; -0,4; -12,541069
44,58; -0,4; -12,346998
44,64; -0,4; -12,164099
44,7; -0,4; -11,972747
44,76; -0,4; -11,78112
44,82; -0,4; -11,607956
44,88; -0,4; -11,396729
44,94; -0,4; -11,2334
45; -0,4; -11,041621
45,06; -0,4; -10,843107
45,12; -0,4; -10,649997
45,18; -0,4; -10,471229
45,24; -0,4; -10,279231
45,3; -0,4; -10,089354
45,36; -0,4; -9,8754394
45,42; -0,4; -9,7088607
45,48; -0,4; -9,5243589
45,54; -0,4; -9,3419073
45,6; -0,4; -9,1518893
45,66; -0,4; -8,9567721
45,72; -0,4; -8,7546471
45,78; -0,4; -8,5886189
45,84; -0,4; -8,4079919
45,9; -0,4; -8,2099361
45,96; -0,4; -8,0131787
46,02; -0,4; -7,8298507
46,08; -0,4; -7,6432599
46,14; -0,4; -7,4546519
46,2; -0,4; -7,2700612
46,26; -0,4; -7,0789455
46,32; -0,4; -6,8903079
46,38; -0,4; -6,7260228
46,44; -0,4; -6,5262942
46,5; -0,4; -6,3349079
46,56; -0,4; -6,1553003
46,62; -0,4; -5,9894598
46,68; -0,4; -5,7793188
46,74; -0,4; -5,5913537
46,8; -0,4; -5,4125448
46,86; -0,4; -5,266093
46,92; -0,4; -5,0689748
46,98; -0,4; -4,8549446
47,04; -0,4; -4,671744
47,1; -0,4; -4,4844693
47,16; -0,4; -4,3046604
47,22; -0,4; -4,117225
47,28; -0,4; -3,9272851
47,34; -0,4; -3,7477228
47,4; -0,4; -3,5667474
47,46; -0,4; -3,3843743
47,52; -0,4; -3,1857155
47,58; -0,4; -3,0099805
47,64; -0,4; -2,8320058
47,7; -0,4; -2,6335365
47,76; -0,4; -2,4632373
47,82; -0,4; -2,2773935
47,88; -0,4; -2,086035
47,94; -0,4; -1,9069205
48; 0; -1,721514
