time,control,temperature
522,39,87.5
522.512,39,87.25
523.008,39,87.25
523.504,39,87
524,39,87
524.496,39,87.25
525.008,39,87.25
525.504,39,87.5
526,39,87.5
526.512,39,86.25
527.008,39,86.25
527.504,39,87
528,39,87
528.496,40,87
529.008,40,87
529.504,39,87.25
530,39,87.25
530.512,39,86.75
531.008,39,86.75
531.504,39,86.5
532,39,86.5
532.496,39,87
533.008,39,87
533.504,39,87.75
534,39,87.75
534.512,39,87.75
535.008,39,87.75
535.504,39,87.5
536,39,87.5
536.496,39,87.5
537.008,39,87.5
537.504,39,88
538,39,88
538.512,39,88.25
539.008,39,88.25
539.504,39,88.5
540,39,88.5
540.496,39,87.75
541.008,39,87.75
541.504,39,88.25
542,39,88.25
542.512,39,88.5
543.008,39,88.5
543.504,39,88.75
544,39,88.75
544.496,39,88.5
545.008,39,88.5
545.504,39,89.25
546,39,89.25
546.512,39,89.25
547.008,39,89.25
547.504,39,89.25
548,39,89.25
548.496,39,89.75
549.008,39,89.75
549.504,39,89.5
550,39,89.5
550.512,39,89.5
551.008,39,89.5
551.504,39,89.75
552,39,89.75
552.496,39,89.75
553.008,39,89.75
553.504,39,90.25
554,39,90.25
554.512,39,90.25
555.008,39,90.25
555.504,39,89.5
556,39,89.5
556.496,39,90.5
557.008,39,90.5
557.504,39,90.75
558,39,90.75
558.512,39,90.5
559.008,39,90.5
559.504,39,91
560,39,91
560.496,39,91.25
561.008,39,91.25
561.504,39,91.25
562,39,91.25
562.512,39,91.25
563.008,39,91.25
563.504,39,91.5
564,39,91.5
564.496,39,91.75
565.008,39,91.75
565.504,39,92
566,39,92
566.512,39,91.75
567.008,39,91.75
567.504,39,91.75
568,39,91.75
568.496,39,92.25
569.008,39,92.25
569.504,39,92
570,39,92
570.512,39,92.5
571.008,39,92.5
571.504,39,92.25
572,39,92.25
572.496,39,92.5
573.008,39,92.5
573.504,39,92.5
574,39,92.5
574.512,39,92.75
575.008,39,92.75
575.504,39,93
576,39,93
576.496,39,93.25
577.008,39,93.25
577.504,39,93.25
578,39,93.25
578.512,39,93.25
579.008,39,93.25
579.504,39,93.25
580,39,93.5
580.496,39,93.5
581.008,39,93.5
581.504,39,93.75
582,39,93.75
582.512,39,93.75
583.008,39,93.25
583.504,39,93.25
584,39,93.5
584.496,39,93.5
585.008,39,94
585.504,39,94
586,39,94
586.512,39,94
587.008,39,94.25
587.504,39,94.25
588,39,94.25
588.496,39,94.25
589.008,39,94.25
589.504,39,94.25
590,39,94.25
590.512,39,94.25
591.008,39,94.25
591.504,39,94.25
592,39,94.75
592.496,39,94.75
593.008,39,94.75
593.504,39,94.75
594,39,94.75
594.512,39,94.75
595.008,39,95
595.504,39,95
596,39,95.25
596.496,39,95.25
597.008,39,95.25
597.504,39,95.25
598,39,95.5
598.512,39,95.5
599.008,39,95.5
599.504,39,95.5
600,39,95.5
600.496,39,95.5
601.008,39,95.75
601.504,39,95.75
602,39,95.25
602.512,39,95.25
603.008,39,96
603.504,39,96
604,39,96
604.496,39,96
605.008,39,96.25
605.504,39,96.25
606,39,96.25
606.512,39,96.25
607.008,39,96.5
607.504,39,96.5
608,39,96
608.496,39,96
609.008,39,96.5
609.504,39,96.5
610,39,96.25
610.512,39,96.25
611.008,40,96.75
611.504,40,96.75
612,39,96.5
612.496,39,96.5
613.008,39,97
613.504,39,97
614,39,97.25
614.512,39,97.25
615.008,39,97
615.504,39,97
616,39,96.5
616.496,39,96.5
617.008,39,97.5
617.504,39,97.5
618,39,96.75
618.512,39,96.75
619.008,39,97.5
619.504,39,97.5
620,39,97.5
620.496,39,97.5
621.008,39,97.75
621.504,39,97.75
622,39,97.75
622.512,39,97.75
623.008,39,97.5
623.504,39,97.5
624,39,97.75
624.496,39,97.75
625.008,39,98
625.504,39,98
626,39,98.25
626.512,39,98.25
627.008,39,98.25
627.504,39,98.25
628,39,98.25
628.496,39,98.25
629.008,39,98.25
629.504,39,98.25
630,39,98.75
630.512,39,98.75
631.008,39,98.75
631.504,39,98.75
632,39,99
632.496,39,99
633.008,39,99
633.504,39,99
634,39,99
634.512,39,99
635.008,39,99
635.504,39,99
636,39,99
636.496,39,99
637.008,39,99
637.504,39,99
638,39,99.25
638.512,39,99.25
639.008,39,99.75
639.504,39,99.75
640,39,99.5
640.496,39,99.5
641.008,39,99.5
641.504,39,99.5
642,39,99.75
642.512,39,99.75
643.008,39,99.5
643.504,39,99.5
644,39,99.75
644.512,39,99.75
645.008,39,99.5
645.504,39,99.5
646,39,99.5
646.512,39,99.5
647.008,39,100
647.504,39,100
648,39,100
648.496,39,100
649.008,39,100
649.504,39,100
650,39,100.25
650.512,39,100.25
651.008,39,100.5
651.504,39,100.5
652,39,100.5
652.496,39,100.5
653.008,39,100.5
653.504,39,100.5
654,39,100.25
654.512,39,100.25
655.008,39,101
655.504,39,101
656,39,101
656.496,39,101
657.008,39,100.75
657.504,39,100.75
658,40,100.5
658.512,40,100.5
659.008,39,101
659.504,39,101
660,39,101
660.496,39,101
661.008,39,101.25
661.504,39,101.25
662,39,101.25
662.512,39,101.25
663.008,39,101.5
663.504,39,101.5
664,39,101.5
664.496,39,101.5
665.008,39,101.5
665.504,39,101.5
666,39,102.25
666.512,39,102.25
667.008,39,102.25
667.504,39,102.25
668,39,101.75
668.496,39,101.75
669.008,39,102.25
669.504,39,102.25
670,39,102
670.512,39,102
671.008,39,102
671.504,39,102
672,39,101.75
672.496,39,101.75
673.008,39,102.5
673.504,39,102.5
674,39,102.75
674.512,39,102.75
675.008,39,102.25
675.504,39,102.25
676,39,102.5
676.496,39,102.5
677.008,39,102.5
677.504,39,103
678,39,103
678.512,39,102.75
679.008,39,102.75
679.504,39,103.25
680,39,103.25
680.496,39,102.75
681.008,39,102.75
681.504,39,102.75
682,39,102.75
682.512,39,102.75
683.008,39,102.75
683.504,39,103.25
684,39,103.25
684.496,39,103.5
685.008,39,103.5
685.504,39,103.5
686,39,103.5
686.512,39,103.75
687.008,39,103.75
687.504,39,103.75
688,39,103.75
688.496,39,103.75
689.008,39,103.75
689.504,39,104
690,39,104
690.512,39,104
691.008,39,104
691.504,39,103.5
692,39,103.5
692.496,39,103.5
693.008,39,103.5
693.504,39,104
694,39,104
694.512,39,104.5
695.008,39,104.5
695.504,39,104.25
696,39,104.25
696.496,39,104.25
697.008,39,104.25
697.504,39,104.25
698,39,104.25
698.512,39,104.5
699.008,39,104.5
699.504,39,104.5
700,39,104.5
700.496,39,104.25
701.008,39,104.25
701.504,39,104.75
702,39,104.75
702.512,39,104.75
703.008,39,104.75
703.504,39,104.75
704,39,104.75
704.496,39,104.75
705.008,39,104.75
705.504,39,105
706,39,105
706.512,39,105.25
707.008,39,105.25
707.504,39,104.75
708,39,104.75
708.496,39,105.5
709.008,39,105.5
709.504,39,105.5
710,39,105.5
710.512,39,105.5
711.008,39,105.5
711.504,39,105.75
712,39,105.75
712.496,39,105.25
713.008,39,105.25
713.504,39,105
714,39,105
714.512,39,106
715.008,39,106
715.504,39,105.5
716,39,105.5
716.496,39,106
717.008,39,106
717.504,39,105.75
718,39,105.75
718.512,39,105.5
719.008,39,105.5
719.504,39,106.25
720,39,106.25
720.496,39,106
721.008,39,106
721.504,39,106
722,39,106
722.512,39,106
723.008,39,106
723.504,39,105
724,39,105
724.496,39,105.5
725.008,39,105.5
725.504,39,104.25
726,39,104.25
726.512,39,104.5
727.008,39,104.5
727.504,39,104.5
728,39,104.5
728.496,39,103.75
729.008,39,103.75
729.504,39,103
730,39,103
730.512,39,102.75
731.008,39,102.75
731.504,39,102.75
732,39,102.75
732.496,39,102
733.008,39,102
733.504,39,102
734,39,102
734.512,39,102.25
735.008,39,102.25
735.504,40,102.75
736,40,102.75
736.496,39,102
737.008,39,102
737.504,39,102.75
738,39,102.75
738.512,39,103.75
739.008,39,103.75
739.504,39,105
740,39,105
740.496,39,107.75
741.008,39,107.75
741.504,39,107
742,39,107
742.512,39,109.5
743.008,39,109.5
743.504,39,109.5
744,39,109.5
744.496,39,110
745.008,39,110
745.504,39,110.75
746,39,110.75
746.512,39,110.5
747.008,39,110.5
747.504,39,111.25
748,39,111.25
748.496,39,111.5
749.008,39,111.5
749.504,39,110
750,39,110
750.512,39,109.5
751.008,39,109.5
751.504,39,109.75
752,39,109.75
752.496,39,109.25
753.008,39,109.25
753.504,39,110
754,39,110
754.512,39,109.75
755.008,39,109.75
755.504,39,108.75
756,39,108.75
756.496,39,109.25
757.008,39,109.25
757.504,39,109.25
758,39,109.25
758.512,39,109.25
759.008,39,109.25
759.504,39,109.25
760,39,109.25
760.496,39,108.75
761.008,39,108.75
761.504,39,110.25
762,39,110.25
762.512,39,111.25
763.008,39,111.25
763.504,39,111
764,39,111
764.496,39,111.25
765.008,39,111.25
765.504,39,111.25
766,39,111.25
766.512,39,111.25
767.008,39,111.5
767.504,39,111.5
768,39,110.75
768.496,39,110.75
769.008,39,111.25
769.504,39,111.25
770,39,109.5
770.512,39,109.5
771.008,39,110
771.504,39,110
772,39,109.25
772.496,39,109.25
773.008,39,109.5
773.504,39,109.5
774,39,110
774.512,39,110
775.008,39,110
775.504,39,110
776,39,109
